,Unnamed: 0,$distance,address,address_extended,category_ids,category_labels,country,email,factual_id,fax,hours,hours_display,latitude,locality,longitude,name,neighborhood,po_box,postcode,region,tel,website,date,userParams,searchparams
10,10,2231.6873,3644 S Archer Ave,,"[80, 171]","[[Healthcare, Pharmacies], [Retail, Supermarkets and Groceries]]",us,jewelosco@e.jewelosco.com,64dd3e47-123f-434a-895a-ad669522013e,,"{u'monday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']], u'tuesday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']], u'friday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']], u'wednesday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']], u'thursday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']], u'sunday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']], u'saturday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']]}","Open Daily 12:00 AM-1:00 AM, 6:00 AM-11:59 PM",41.827542,Chicago,-87.682813,Jewel-Osco,"[South West Side, Ducktown]",,60609,IL,(773) 523-6923,http://www.jewelosco.com/,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
11,11,2968.0925,600 W 35th St,,[170],"[[Retail, Sporting Goods]]",us,grandstand@sbcglobal.net,b688fb62-99a1-4f4d-9d4d-a15051128866,(541) 963-3117,"{u'monday': [[u'10:00', u'19:00']], u'tuesday': [[u'10:00', u'19:00']], u'friday': [[u'10:00', u'19:00']], u'wednesday': [[u'10:00', u'19:00']], u'thursday': [[u'10:00', u'19:00']], u'sunday': [[u'10:00', u'17:00']], u'saturday': [[u'10:00', u'18:00']]}",Mon-Fri 10:00 AM-7:00 PM; Sat 10:00 AM-6:00 PM; Sun 10:00 AM-5:00 PM,41.830973,Chicago,-87.641404,Grandstand Limited,"[Armour Square, South Side, Bronzeville]",,60616,IL,(773) 927-1984,http://grandstandsox.com,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
12,12,8189.951,224 S Michigan Ave,Ste 116,[158],"[[Retail, Gift and Novelty]]",us,info@architecture.org,2404f842-d052-41d7-9090-26cdfb426254,(312) 922-0481,"{u'monday': [[u'9:00', u'18:30']], u'tuesday': [[u'9:00', u'18:30']], u'friday': [[u'9:00', u'18:30']], u'wednesday': [[u'9:00', u'18:30']], u'thursday': [[u'9:00', u'18:30']], u'sunday': [[u'9:00', u'18:30']], u'saturday': [[u'9:00', u'18:30']]}",Open Daily 9:00 AM-6:30 PM,41.878595,Chicago,-87.624766,Chicago Architecture Foundation,[Loop],,60604,IL,(312) 922-3432,http://www.architecture.org,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
13,13,6311.225,1342 E 55th St,,[167],"[[Retail, Pets]]",us,parker@parkersnaturals.com,09020661-06b4-4bc1-b5cd-f758ce74418e,,"{u'monday': [[u'12:00', u'18:00']], u'tuesday': [[u'11:00', u'19:00']], u'friday': [[u'11:00', u'19:00']], u'wednesday': [[u'11:00', u'19:00']], u'thursday': [[u'11:00', u'19:00']], u'sunday': [[u'12:00', u'17:00']], u'saturday': [[u'10:00', u'18:00']]}",Mon 12:00 PM-6:00 PM; Tue-Fri 11:00 AM-7:00 PM; Sat 10:00 AM-6:00 PM; Sun 12:00 PM-5:00 PM,41.795214,Chicago,-87.593381,Parkers Pets,"[South Side, Hyde Park]",,60615,IL,(773) 643-7387,http://www.parkersnaturals.com,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
14,14,3457.0408,3033 S Halsted St,,[171],"[[Retail, Supermarkets and Groceries]]",us,cermak_12@yahoo.com,1a5fb851-3cbc-4111-8bdd-bdcd6ca63e08,,"{u'monday': [[u'7:00', u'22:00']], u'tuesday': [[u'7:00', u'22:00']], u'friday': [[u'7:00', u'22:00']], u'wednesday': [[u'7:00', u'22:00']], u'thursday': [[u'7:00', u'22:00']], u'sunday': [[u'7:00', u'22:00']], u'saturday': [[u'7:00', u'22:00']]}",Open Daily 7:00 AM-10:00 PM,41.838974,Chicago,-87.646127,Cermak Produce,"[Bridgeport, Lower West Side]",,60608,IL,(312) 460-3460,http://www.cermakproduce.com,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
15,15,3489.4043,3000 S Halsted St,,[174],"[[Retail, Vintage and Thrift]]",us,8008@savers.com,281cdd34-7931-4456-a2ea-bc9bddd67b99,(808) 637-6602,"{u'monday': [[u'6:00', u'21:00']], u'friday': [[u'9:00', u'21:00']], u'wednesday': [[u'9:00', u'21:00']], u'thursday': [[u'9:00', u'21:00']], u'sunday': [[u'9:00', u'21:00']], u'saturday': [[u'9:00', u'21:00']]}",Mon 6:00 AM-9:00 PM; Wed-Sun 9:00 AM-9:00 PM,41.839637,Chicago,-87.646968,Unique,"[Lower West Side, West and Near West Side, Bridgeport]",,60608,IL,(312) 842-0942,https://stores.savers.com/il/chicago/unique-thrift-store-8008.html,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
16,16,5049.101,5320 S Pulaski Rd,Ste 1,"[171, 80]","[[Retail, Supermarkets and Groceries], [Healthcare, Pharmacies]]",us,tiffanyb@venuelabs.com,604d0325-9a56-43fb-b91c-6db933109735,(773) 284-0366,"{u'monday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']], u'tuesday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']], u'friday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']], u'wednesday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']], u'thursday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']], u'sunday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']], u'saturday': [[u'00:00', u'1:00'], [u'6:00', u'23:59']]}","Open Daily 12:00 AM-1:00 AM, 6:00 AM-11:59 PM",41.796047,Chicago,-87.723393,Jewel-Osco,"[South West Side, West Elsdon]",,60632,IL,(773) 284-7700,http://www.jewelosco.com,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
17,17,1718.0481,4640 S Halsted St,,[171],"[[Retail, Supermarkets and Groceries]]",us,,00af22c6-acdf-44a3-b384-35739f7f4914,(773) 247-8134,"{u'monday': [[u'8:00', u'22:00']], u'tuesday': [[u'8:00', u'22:00']], u'friday': [[u'8:00', u'22:00']], u'wednesday': [[u'8:00', u'22:00']], u'thursday': [[u'8:00', u'22:00']], u'sunday': [[u'8:00', u'21:00']], u'saturday': [[u'8:00', u'21:00']]}",Mon-Fri 8:00 AM-10:00 PM; Sat-Sun 8:00 AM-9:00 PM,41.809847,Chicago,-87.645652,Fairplay Finer Foods,"[South West Side, Canaryville, South Side]",,60609,IL,(773) 247-6997,http://www.fairplayfoods.com,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
18,18,6580.076,1512 E 53rd St,,[155],"[[Retail, Food and Beverage, Health and Diet Food]]",us,goodhealth@bonnesantehf.com,2662456f-2571-4bb3-93c2-d9bbcd5f0703,(773) 643-7212,"{u'monday': [[u'9:30', u'20:00']], u'tuesday': [[u'9:30', u'20:00']], u'friday': [[u'9:30', u'20:00']], u'wednesday': [[u'9:30', u'20:00']], u'thursday': [[u'9:30', u'20:00']], u'sunday': [[u'11:00', u'17:00']], u'saturday': [[u'9:30', u'19:00']]}",Mon-Fri 9:30 AM-8:00 PM; Sat 9:30 AM-7:00 PM; Sun 11:00 AM-5:00 PM,41.799627,Chicago,-87.588518,Bonne Sante Health Foods,"[South Side, Kennicott Place, Kenwood]",,60615,IL,(773) 667-5700,http://www.bonnesantehealthfoods.com,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
19,19,5443.5513,2121 S Archer Ave,,[171],"[[Retail, Supermarkets and Groceries]]",us,tim@chicagochinatown.com,02255174-4651-4ef2-a655-518de53636c5,(816) 407-9427,"{u'monday': [[u'9:00', u'20:00']], u'tuesday': [[u'9:00', u'20:00']], u'friday': [[u'9:00', u'20:00']], u'wednesday': [[u'9:00', u'20:00']], u'thursday': [[u'9:00', u'20:00']], u'sunday': [[u'9:00', u'20:00']], u'saturday': [[u'9:00', u'20:00']]}",Open Daily 9:00 AM-8:00 PM,41.853754,Chicago,-87.632525,Chinatown Market,"[Armour Square, South Side, Chinatown]",,60616,IL,(312) 881-0068,http://www.chicagochinatown.org/,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
20,20,6265.9307,1720 S Michigan Ave,Ste 115,[171],"[[Retail, Supermarkets and Groceries]]",us,info@southloopmarket.com,7c086c20-1e18-012f-0643-0030487f54d8,,"{u'monday': [[u'7:00', u'23:59']], u'tuesday': [[u'7:00', u'23:59']], u'friday': [[u'7:00', u'23:59']], u'wednesday': [[u'7:00', u'23:59']], u'thursday': [[u'7:00', u'23:59']], u'sunday': [[u'00:00', u'00:30'], [u'8:00', u'23:00']], u'saturday': [[u'00:00', u'00:30'], [u'7:30', u'23:59']]}","Mon-Fri 7:00 AM-11:59 PM; Sat 12:00 AM-12:30 AM, 7:30 AM-11:59 PM; Sun 12:00 AM-12:30 AM, 8:00 AM-11:00 PM",41.858516,Chicago,-87.624072,South Loop Market,"[Film Row, Near South Side, South Loop]",,60616,IL,(312) 753-5793,http://www.southloopmarket.com/,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
21,21,4874.859,5153 S Pulaski Rd,Unit B,"[466, 159]","[[Healthcare, Optometrist], [Retail, Glasses]]",us,manager@pvchicago.com,35ea5c39-840e-403a-891e-7251542b13dc,(773) 284-9827,"{u'monday': [[u'10:00', u'20:00']], u'tuesday': [[u'10:00', u'19:00']], u'friday': [[u'10:00', u'19:00']], u'wednesday': [[u'10:00', u'19:00']], u'thursday': [[u'10:00', u'18:00']], u'saturday': [[u'10:00', u'17:00']]}",Mon 10:00 AM-8:00 PM; Tue-Wed 10:00 AM-7:00 PM; Thu 10:00 AM-6:00 PM; Fri 10:00 AM-7:00 PM; Sat 10:00 AM-5:00 PM,41.800184,Chicago,-87.722965,Pearle Vision,"[South West Side, West Elsdon]",,60632,IL,(773) 284-9844,http://stores.pearlevision.com/21054490/Chicago-IL-Pulaski-Road/?cid=Yext_21054490,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
22,22,7474.583,719 S Dearborn St,,[150],"[[Retail, Food and Beverage, Beer, Wine and Spirits]]",us,drpage@veneerschicago.com,40f4ba9f-71cb-40d9-9135-d09634decec7,(503) 625-9469,"{u'monday': [[u'12:00', u'22:00']], u'tuesday': [[u'12:00', u'22:00']], u'friday': [[u'12:00', u'23:00']], u'wednesday': [[u'12:00', u'22:00']], u'thursday': [[u'12:00', u'23:00']], u'sunday': [[u'12:00', u'20:00']], u'saturday': [[u'12:00', u'23:00']]}",Mon-Wed 12:00 PM-10:00 PM; Thu-Sat 12:00 PM-11:00 PM; Sun 12:00 PM-8:00 PM,41.873037,Chicago,-87.629221,Printers Row Wine Shop,"[Printer's Row, Loop, South Loop]",,60605,IL,(312) 663-9314,http://www.printersrowwine.com,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
