,Unnamed: 0,$distance,address,address_extended,category_ids,category_labels,country,email,factual_id,fax,hours,hours_display,latitude,locality,longitude,name,neighborhood,po_box,postcode,region,tel,website
11,11,5320.9395,2009 S Wabash Ave,,[7],"[[Automotive, Car Wash and Detail]]",us,admin@newvcorp.com,08611dff-046b-48b2-8784-89e454026b77,(802) 228-4574,"{u'monday': [[u'7:00', u'19:00']], u'tuesday': [[u'7:00', u'19:00']], u'friday': [[u'7:00', u'19:00']], u'wednesday': [[u'7:00', u'19:00']], u'thursday': [[u'7:00', u'19:00']], u'sunday': [[u'8:00', u'18:00']], u'saturday': [[u'7:00', u'19:00']]}",Mon-Sat 7:00 AM-7:00 PM; Sun 8:00 AM-6:00 PM,41.855103,Chicago,-87.625343,Strictly By Hand,"[Film Row, South Loop, Near South Side]",,60616,IL,(312) 225-4400,http://www.sbhcarwash.com/
12,12,4309.946,4400 W Ogden Ave,,[9],"[[Automotive, Maintenance and Repair]]",us,,e6251a41-bbaa-4197-bfb3-cf8bc64f50ac,(773) 762-4403,"{u'monday': [[u'7:30', u'16:30']], u'tuesday': [[u'7:30', u'16:30']], u'friday': [[u'7:30', u'16:30']], u'wednesday': [[u'7:30', u'16:30']], u'thursday': [[u'7:30', u'16:30']], u'saturday': [[u'8:00', u'13:00']]}",Mon-Fri 7:30 AM-4:30 PM; Sat 8:00 AM-1:00 PM,41.847725,Chicago,-87.734713,Auto Electronics,"[West and Near West Side, Crawford]",,60623,IL,(773) 762-4400,http://acdelcoau.to/c7sx
13,13,2079.0664,1901 S Western Ave,,[16],"[[Automotive, Motorcycles, Mopeds and Scooters, Sales]]",us,milan@motoworkschicago.com,7b129790-18b3-4946-866f-9844b076d7fb,,"{u'tuesday': [[u'10:00', u'19:00']], u'friday': [[u'10:00', u'19:00']], u'wednesday': [[u'10:00', u'19:00']], u'thursday': [[u'10:00', u'19:00']], u'saturday': [[u'9:00', u'17:00']]}",Tue-Fri 10:00 AM-7:00 PM; Sat 9:00 AM-5:00 PM,41.855597,Chicago,-87.68536,Motoworks Chicago,"[Tri-taylor, Bohemian California, West and Near West Side]",,60608,IL,(312) 738-4269,http://www.motoworkschicago.com
14,14,5405.508,1917 W Lake St,,[9],"[[Automotive, Maintenance and Repair]]",us,,403afc59-af8b-41b2-895b-7e1aceb7fe6c,,"{u'monday': [[u'8:00', u'18:00']], u'tuesday': [[u'8:00', u'18:00']], u'friday': [[u'8:00', u'18:00']], u'wednesday': [[u'8:00', u'18:00']], u'thursday': [[u'8:00', u'18:00']], u'saturday': [[u'8:00', u'13:00']]}",Mon-Fri 8:00 AM-6:00 PM; Sat 8:00 AM-1:00 PM,41.884956,Chicago,-87.674858,Your Way Automotive,"[West and Near West Side, Near West Side]",,60612,IL,(312) 226-6824,http://www.uwebconnect.com/yourwayautomotive
15,15,2266.1418,3846 S Kedzie Ave,,[6],"[[Automotive, Car Parts and Accessories]]",us,jjaime@aaronglass.com,7154fb14-8539-45dd-b6ae-513b68597b12,(256) 773-5140,"{u'monday': [[u'7:30', u'18:00']], u'tuesday': [[u'7:30', u'18:00']], u'friday': [[u'7:30', u'18:00']], u'wednesday': [[u'7:30', u'18:00']], u'thursday': [[u'7:30', u'18:00']], u'sunday': [[u'8:00', u'14:00']], u'saturday': [[u'7:30', u'16:00']]}",Mon-Fri 7:30 AM-6:00 PM; Sat 7:30 AM-4:00 PM; Sun 8:00 AM-2:00 PM,41.822829,Chicago,-87.704532,Aaron Auto Glass,"[South West Side, Corwith]",,60632,IL,(773) 247-4500,http://aaronglass.com/
16,16,5626.166,27 N May St,,[9],"[[Automotive, Maintenance and Repair]]",us,rnbavarian@bmchicago.com,b41486b6-3ab4-421a-a0e1-315312db7f76,,"{u'monday': [[u'8:00', u'18:00']], u'tuesday': [[u'8:00', u'18:00']], u'friday': [[u'8:00', u'18:00']], u'wednesday': [[u'8:00', u'18:00']], u'thursday': [[u'8:00', u'18:00']], u'saturday': [[u'8:00', u'12:00']]}",Mon-Fri 8:00 AM-6:00 PM; Sat 8:00 AM-12:00 PM,41.882562,Chicago,-87.655474,Bavarian Motors Of Chicago,"[Near West Side, West Loop, Carpenters Addition]",,60607,IL,(312) 455-8500,http://www.rnbavarian.com
17,17,6878.6978,1060 W Huron St,,[9],"[[Automotive, Maintenance and Repair]]",us,info@gerbercollision.com,3c6ee23c-2337-488b-a20d-f91f4d63778d,(312) 491-0393,"{u'monday': [[u'7:30', u'17:30']], u'tuesday': [[u'7:30', u'17:30']], u'friday': [[u'7:30', u'17:30']], u'wednesday': [[u'7:30', u'17:30']], u'thursday': [[u'7:30', u'17:30']], u'saturday': [[u'8:00', u'12:00']]}",Mon-Fri 7:30 AM-5:30 PM; Sat 8:00 AM-12:00 PM,41.894585,Chicago,-87.654731,Gerber Collision & Glass,"[West Loop, Greek Town, Goose Island]",,60642,IL,(312) 491-0482,https://www.gerbercollision.com/locations/chicago-huron-st-il
18,18,5173.8115,2232 S Wabash Ave,,[9],"[[Automotive, Maintenance and Repair]]",us,info@ecchicago.com,97053094-39d5-4f18-9f32-ebc4925f50ff,,"{u'monday': [[u'8:00', u'18:00']], u'tuesday': [[u'8:00', u'18:00']], u'friday': [[u'8:00', u'18:00']], u'wednesday': [[u'8:00', u'18:00']], u'thursday': [[u'8:00', u'18:00']], u'saturday': [[u'9:00', u'12:00']]}",Mon-Fri 8:00 AM-6:00 PM; Sat 9:00 AM-12:00 PM,41.851916,Chicago,-87.625634,Euro Collision,"[Prairie Avenue Courts, South Side, Near South Side]",,60616,IL,(312) 225-0222,http://www.ecchicago.com/
19,19,6470.7744,641 N Ashland Ave,,[6],"[[Automotive, Car Parts and Accessories]]",us,orlando.auto@att.net,0a4ebcd0-e501-4ab0-9813-384d65e4491c,,"{u'monday': [[u'8:00', u'18:00']], u'tuesday': [[u'8:00', u'18:00']], u'friday': [[u'8:00', u'18:00']], u'wednesday': [[u'8:00', u'18:00']], u'thursday': [[u'8:00', u'18:00']], u'saturday': [[u'8:00', u'15:00']]}",Mon-Fri 8:00 AM-6:00 PM; Sat 8:00 AM-3:00 PM,41.893587,Chicago,-87.667062,Orlando Glass and Trim,"[West Town, West and Near West Side, Greek Town]",,60622,IL,(312) 283-1870,http://chicagoautoglassrepairs.com
20,20,1585.7533,3017 W 26th St,,"[12, 10]","[[Automotive, Maintenance and Repair, Tires], [Automotive, Maintenance and Repair, Oil and Lube]]",us,tecnicentro23@yahoo.com,15bb556d-1b9e-4738-8845-845a8a8298f7,(773) 579-0568,"{u'monday': [[u'8:00', u'18:00']], u'tuesday': [[u'8:00', u'18:00']], u'friday': [[u'8:00', u'18:00']], u'wednesday': [[u'8:00', u'18:00']], u'thursday': [[u'8:00', u'18:00']], u'sunday': [[u'00:00', u'4:00']], u'saturday': [[u'8:00', u'23:59']]}",Mon-Fri 8:00 AM-6:00 PM; Sat 8:00 AM-11:59 PM; Sun 12:00 AM-4:00 AM,41.844369,Chicago,-87.701064,Tecnicentro Automotriz,"[South Lawndale, Bohemian California, West and Near West Side]",,60623,IL,(773) 579-0118,http://local.acdelco.com/dma/?fac=601366&c=vgn?evar5=referral_yellowpages_IYP
21,21,7930.0957,900 W Division St,,[9],"[[Automotive, Maintenance and Repair]]",us,jfosco@ktfmediagroup.com,07d6d91d-264d-4bf7-8e7b-108071566513,,"{u'monday': [[u'7:00', u'18:00']], u'tuesday': [[u'7:00', u'18:00']], u'friday': [[u'7:00', u'18:00']], u'wednesday': [[u'7:00', u'18:00']], u'thursday': [[u'7:00', u'18:00']], u'saturday': [[u'8:00', u'23:59']]}",Mon-Fri 7:00 AM-6:00 PM; Sat 8:00 AM-11:59 PM,41.903727,Chicago,-87.65129,Gold Coast Auto Body,"[West and Near West Side, Goose Island, Fifty Acres]",,60642,IL,(312) 787-0333,http://www.goldcoastautobody.com
22,22,5577.817,301 N Hoyne Ave,,"[12, 10]","[[Automotive, Maintenance and Repair, Tires], [Automotive, Maintenance and Repair, Oil and Lube]]",us,questions@topstore.com,69780a90-0d53-4a0b-89b7-971140ff655a,(931) 359-3280,"{u'monday': [[u'8:30', u'16:30']], u'tuesday': [[u'8:30', u'16:30']], u'friday': [[u'8:30', u'16:30']], u'wednesday': [[u'8:30', u'16:30']], u'thursday': [[u'8:30', u'16:30']], u'saturday': [[u'8:30', u'12:00']]}",Mon-Fri 8:30 AM-4:30 PM; Sat 8:30 AM-12:00 PM,41.886884,Chicago,-87.678998,Top Store,"[Near West Side, West and Near West Side]",,60612,IL,(312) 243-4499,http://www.topstore.com
23,23,5594.7925,2348 W 59th St,,[9],"[[Automotive, Maintenance and Repair]]",us,marframe@sbcglobal.net,783db787-1e0e-45fb-951a-753d43eccbae,(773) 434-5146,"{u'monday': [[u'8:00', u'17:00']], u'tuesday': [[u'8:00', u'17:00']], u'friday': [[u'8:00', u'17:00']], u'wednesday': [[u'8:00', u'17:00']], u'thursday': [[u'8:00', u'17:00']], u'saturday': [[u'8:00', u'14:00']]}",Mon-Fri 8:00 AM-5:00 PM; Sat 8:00 AM-2:00 PM,41.786606,Chicago,-87.683045,Marquette Frame & Wheel Alignment,[South West Side],,60636,IL,(773) 434-1221,http://www.marquetteframe.net
24,24,3199.7842,1230 S Western Ave,,[10],"[[Automotive, Maintenance and Repair, Oil and Lube]]",us,phall@soundfleetmanagement.com,82536602-ea64-404b-8e2f-ae459d60a2cd,,"{u'monday': [[u'8:00', u'18:00']], u'tuesday': [[u'8:00', u'18:00']], u'friday': [[u'8:00', u'18:00']], u'wednesday': [[u'8:00', u'18:00']], u'thursday': [[u'8:00', u'18:00']], u'saturday': [[u'8:00', u'17:00']]}",Mon-Fri 8:00 AM-6:00 PM; Sat 8:00 AM-5:00 PM,41.865656,Chicago,-87.686373,Jiffy Lube,"[Tri-taylor, Claremont Cottages, West and Near West Side]",,60608,IL,(312) 633-0600,http://www.jiffylube.com/
25,25,3505.0247,4530 S Archer Ave,# 4530,[5],"[[Automotive, Car Dealers and Leasing, Used Cars]]",us,bdc@caroutlet.com,5c105bb8-56ba-4390-b6f5-60e4eb25046e,,"{u'monday': [[u'10:00', u'21:00']], u'tuesday': [[u'10:00', u'21:00']], u'friday': [[u'10:00', u'21:00']], u'wednesday': [[u'10:00', u'21:00']], u'thursday': [[u'10:00', u'21:00']], u'saturday': [[u'10:00', u'21:00']]}",Mon-Sat 10:00 AM-9:00 PM,41.811176,Chicago,-87.70919,Car Outlet,[South West Side],,60632,IL,(773) 523-8750,http://www.caroutlet.com/
26,26,3819.1501,3430 W 47th St,,[10],"[[Automotive, Maintenance and Repair, Oil and Lube]]",us,bob@autotime.com,8841b0ad-9ca2-4922-be6f-966aa421e1ba,(773) 376-8857,"{u'monday': [[u'00:00', u'18:00']], u'tuesday': [[u'00:00', u'18:00']], u'friday': [[u'00:00', u'18:00']], u'wednesday': [[u'00:00', u'18:00']], u'thursday': [[u'00:00', u'18:00']], u'saturday': [[u'00:00', u'14:00']]}",Mon-Fri 12:00 AM-6:00 PM; Sat 12:00 AM-2:00 PM,41.808105,Chicago,-87.709866,Autotime,[South West Side],,60632,IL,(773) 376-4264,http://www.autotime.localgads.com/
27,27,1832.8411,3967 S Archer Ave,,[6],"[[Automotive, Car Parts and Accessories]]",us,brightonauto3967@gmail.com,1462193d-1afb-48a5-b85a-072058b6b405,(773) 523-1275,"{u'monday': [[u'8:00', u'18:00']], u'tuesday': [[u'8:00', u'18:00']], u'friday': [[u'8:00', u'18:00']], u'wednesday': [[u'8:00', u'18:00']], u'thursday': [[u'8:00', u'18:00']], u'saturday': [[u'8:00', u'15:00']]}",Mon-Fri 8:00 AM-6:00 PM; Sat 8:00 AM-3:00 PM,41.821322,Chicago,-87.691963,Brighton Automotive,"[South West Side, South Brighton]",,60632,IL,(773) 523-1200,http://www.brightonauto.com
28,28,2056.003,2430 S Kedzie Ave,,[9],"[[Automotive, Maintenance and Repair]]",us,falconcarwash@sbcglobal.net,40481614-ccd5-489f-8141-26655ef2bbbd,,"{u'monday': [[u'8:00', u'18:00']], u'tuesday': [[u'8:00', u'18:00']], u'friday': [[u'8:00', u'18:00']], u'wednesday': [[u'8:00', u'18:00']], u'thursday': [[u'8:00', u'18:00']], u'sunday': [[u'8:00', u'12:00']], u'saturday': [[u'8:00', u'16:00']]}",Mon-Fri 8:00 AM-6:00 PM; Sat 8:00 AM-4:00 PM; Sun 8:00 AM-12:00 PM,41.847444,Chicago,-87.705146,Falcon Auto Body,"[West and Near West Side, South Lawndale, North Lawndale]",,60623,IL,(773) 521-1790,http://falconrepairinc.com
29,29,4433.294,5310 S Western Ave,,[5],"[[Automotive, Car Dealers and Leasing, Used Cars]]",us,cars-4-u@msn.com,5d22a0c6-0349-4290-9f6a-2208da004d68,,"{u'monday': [[u'10:00', u'19:00']], u'tuesday': [[u'10:00', u'19:00']], u'friday': [[u'10:00', u'19:00']], u'wednesday': [[u'10:00', u'19:00']], u'thursday': [[u'10:00', u'19:00']]}",Mon-Fri 10:00 AM-7:00 PM,41.797037,Chicago,-87.684287,Franklin Motor Credit,[South West Side],,60609,IL,(773) 476-3300,http://franklinmotorcredit.com
30,30,2879.032,2727 S Mary St,,[9],"[[Automotive, Maintenance and Repair]]",us,,5c74aef3-28f9-4f4c-8b8b-4380130fc290,,"{u'monday': [[u'9:00', u'17:30']], u'tuesday': [[u'9:00', u'17:30']], u'friday': [[u'9:00', u'17:30']], u'wednesday': [[u'9:00', u'17:30']], u'thursday': [[u'9:00', u'17:30']]}",Mon-Fri 9:00 AM-5:30 PM,41.844105,Chicago,-87.65137,Salmart Auto Body,"[Bridgeport, West and Near West Side, Lower West Side]",,60608,IL,(312) 842-7651,
31,31,5656.5356,4438 W 5th Ave,,[2],[[Automotive]],us,icautospa@gmail.com,130d136d-e498-47fa-9cb0-71f0fcaee35b,,"{u'monday': [[u'9:00', u'18:00']], u'tuesday': [[u'9:00', u'18:00']], u'friday': [[u'9:00', u'18:00']], u'wednesday': [[u'9:00', u'18:00']], u'thursday': [[u'9:00', u'18:00']]}",Mon-Fri 9:00 AM-6:00 PM,41.869971,Chicago,-87.736653,Image Customize Auto Spa,[West and Near West Side],,60624,IL,(773) 826-4559,http://www.icautospa.com
32,32,3316.6453,3330 S Pulaski Rd,,[9],"[[Automotive, Maintenance and Repair]]",us,info@busntruckchicago.com,2c1854e1-a00b-4ab8-af69-955fcbcd7ddb,,"{u'monday': [[u'9:00', u'17:00']], u'tuesday': [[u'9:00', u'17:00']], u'friday': [[u'9:00', u'17:00']], u'wednesday': [[u'9:00', u'17:00']], u'thursday': [[u'9:00', u'17:00']]}",Mon-Fri 9:00 AM-5:00 PM,41.832597,Chicago,-87.724366,Bus & Truck Of Chicago,[South Lawndale],,60623,IL,(773) 523-6003,http://www.busntruckchicago.com
33,33,3754.9163,824 S Western Ave,,"[10, 12, 13]","[[Automotive, Maintenance and Repair, Oil and Lube], [Automotive, Maintenance and Repair, Tires], [Automotive, Maintenance and Repair, Transmissions]]",us,,432fd99b-e531-4f0c-be43-4d7aae8a2d85,,"{u'monday': [[u'8:00', u'17:00']], u'tuesday': [[u'8:00', u'17:00']], u'friday': [[u'8:00', u'17:00']], u'wednesday': [[u'8:00', u'17:00']], u'thursday': [[u'8:00', u'17:00']], u'sunday': [[u'8:00', u'17:00']], u'saturday': [[u'8:00', u'17:00']]}",Open Daily 8:00 AM-5:00 PM,41.870652,Chicago,-87.686379,G & R Auto Repair,"[Claremont Cottages, Tri-taylor, West and Near West Side]",,60612,IL,(312) 850-9417,http://www.grautocorp.com
34,34,1953.8905,3159 W 36th Pl,,[12],"[[Automotive, Maintenance and Repair, Tires]]",us,,0cc85af7-b9d3-4325-b59c-9ea9ac8a5550,,"{u'monday': [[u'7:00', u'15:30']], u'tuesday': [[u'7:00', u'15:30']], u'friday': [[u'7:00', u'15:30']], u'wednesday': [[u'7:00', u'15:30']], u'thursday': [[u'7:00', u'15:30']]}",Mon-Fri 7:00 AM-3:30 PM,41.826978,Chicago,-87.704212,Canton Tire Chicago,"[Corwith, South West Side]",,60632,IL,(773) 254-1600,http://cantontire.net
35,35,2218.014,4220 S Western Ave,,[7],"[[Automotive, Car Wash and Detail]]",us,mido6436@yahoo.com,c699ab12-f464-4a53-9fb5-32ae056fc143,(773) 254-7783,"{u'monday': [[u'10:00', u'20:00']], u'tuesday': [[u'10:00', u'20:00']], u'friday': [[u'10:00', u'20:00']], u'wednesday': [[u'10:00', u'20:00']], u'thursday': [[u'10:00', u'20:00']], u'saturday': [[u'10:00', u'20:00']]}",Mon-Sat 10:00 AM-8:00 PM,41.816958,Chicago,-87.684814,Capital Motor Auto Sales,"[South Brighton, South West Side]",,60609,IL,(773) 254-0506,http://capitalmotorsautogroup.com
36,36,2520.7393,1900 W 43rd St,,[9],"[[Automotive, Maintenance and Repair]]",us,bob@midtrailer.com,21ea5483-80ac-4749-9f16-ca62597e2e3c,,"{u'monday': [[u'7:00', u'15:00']], u'tuesday': [[u'7:00', u'15:00']], u'friday': [[u'7:00', u'15:00']], u'wednesday': [[u'7:00', u'15:00']], u'thursday': [[u'7:00', u'15:00']]}",Mon-Fri 7:00 AM-3:00 PM,41.816057,Chicago,-87.672805,Midwest Trailer Repair,[South West Side],,60609,IL,(773) 579-1911,http://www.midtrailer.com
37,37,6667.628,820 N Damen Ave,,[9],"[[Automotive, Maintenance and Repair]]",us,,76368960-faa7-4859-a1b2-ad7afdf6afe2,,"{u'monday': [[u'8:00', u'18:00']], u'tuesday': [[u'8:00', u'18:00']], u'friday': [[u'8:00', u'18:00']], u'wednesday': [[u'8:00', u'18:00']], u'thursday': [[u'8:00', u'18:00']], u'sunday': [[u'10:00', u'15:00']], u'saturday': [[u'8:00', u'18:00']]}",Mon-Sat 8:00 AM-6:00 PM; Sun 10:00 AM-3:00 PM,41.896608,Chicago,-87.677258,Grace Auto Repair,"[West and Near West Side, West Town]",,60622,IL,(773) 278-6666,
38,38,6680.1455,6001 S Pulaski Rd,# 6010,[10],"[[Automotive, Maintenance and Repair, Oil and Lube]]",us,art@oilexpress.com,79f32e51-a1b7-4e73-806e-366cab9b6ea1,(954) 776-7975,"{u'monday': [[u'8:00', u'18:00']], u'tuesday': [[u'8:00', u'18:00']], u'friday': [[u'8:00', u'18:00']], u'wednesday': [[u'8:00', u'18:00']], u'thursday': [[u'8:00', u'18:00']], u'saturday': [[u'8:00', u'17:00']]}",Mon-Fri 8:00 AM-6:00 PM; Sat 8:00 AM-5:00 PM,41.78387,Chicago,-87.722615,Oil Express,[South West Side],,60629,IL,(773) 585-6001,http://www.oilexpress.com
39,39,5604.2935,5000 W Cermak Rd,,"[12, 13, 10]","[[Automotive, Maintenance and Repair, Tires], [Automotive, Maintenance and Repair, Transmissions], [Automotive, Maintenance and Repair, Oil and Lube]]",us,info@transomex.com,04130280-e886-458b-8b57-3c47ca3bb329,(708) 222-1313,"{u'monday': [[u'7:00', u'17:00']], u'tuesday': [[u'7:00', u'17:00']], u'friday': [[u'7:00', u'17:00']], u'wednesday': [[u'7:00', u'17:00']], u'thursday': [[u'7:00', u'17:00']], u'saturday': [[u'7:00', u'12:00']]}",Mon-Fri 7:00 AM-5:00 PM; Sat 7:00 AM-12:00 PM,41.85157,Cicero,-87.749481,Trans-O-Mex,[Crawford],,60804,IL,(708) 222-1616,http://www.transomex.com
